ADDRESSE ; GEOLOCALISATION ; URL_SITE ; DESCRIPTION
CBX -  PLACE DES REFLETS 92400 COURBEVOIE ; ['48.890259', '2.246130']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-602242; DisponibilitéNous consulterLoyer480 € / m²Surface250 m² (env. 30 postes) 
LATITUDE - 19-29 RUE DU CAPITAINE GUYNEMER 92400 COURBEVOIE ; ['48.895412', '2.242738']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-588070; Disponibilité2e trim. 2020Loyer530 € / m²Surface21983 m² (env. 2200 postes) 
ESPLANADE SUD - 8 TERRASSE BELLINI 92800 PUTEAUX ; ['48.886826', '2.251834']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-368579; DisponibilitéImmédiateLoyer400 € / m²Surface175 m² (env. 20 postes) divisibles dès 84 m² 
94 RUE ROUGET DE LISLE - 92150 SURESNES ; ['48.871015', '2.225288']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-a-vendre-suresnes-92150-582746; DisponibilitéImmédiateLoyer195 € / m²Prix à la vente3740 € / m²Surface615 m² (env. 60 postes) 
BESIDE - 5 RUE CHANTE COQ 92800 PUTEAUX ; ['48.882893', '2.238369']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-34627; DisponibilitéImmédiateLoyer290 € / m²Surface5821 m² (env. 580 postes) divisibles dès 1052 m² 
HIGHLIGHT - 17-19 QUAI DU PRESIDENT PAUL DOUMER 92400 COURBEVOIE ; ['48.890781', '2.257000']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-604337; Disponibilité2e trim. 2021Loyer€ - Nous consulterSurface22375 m² (env. 2240 postes) divisibles dès 5166 m² 

23-25 Rue DELARIVIERE LEFOULLON, 92998; ['48.888039', '2.243890']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-10266-m2-divisibles-14011203.html; Surface3 051 m²Divisibles à partir de537 m²/Loyer à partir de410 €HT/HC/m²/an18 348 €HT/HC/mois 220 170 €HT/HC/an 
23-25 Rue DELARIVIERE LEFOULLON, 92998; ['48.888039', '2.243890']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-330-m2-non-divisibles-18011747.html; Surface330 m²/Loyer 390 €HT/HC/m²/an10 725 €HT/HC/mois 128 700 €HT/HC/an 
43/47 Rue LOUIS BLANC, 92998; ['43.400791', '3.694130']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-5056-5-m2-divisibles-14010230.html; Surface5 769 m²Divisibles à partir de354 m²/Loyer à partir de340 €HT/HC/m²/an10 030 €HT/HC/mois 120 360 €HT/HC/an 
